Generation,PopBestRed,PopBestBlue,PopAvgRed,PopAvgBlue,BestOverallRed,BestOverallBlue
90,5184.837,0,4763.394,0,5184.837,0
91,5600.606,0,4849.363,0,5600.606,0
92,25968.69,0,5890.948,0,25968.69,0
93,78244.94,0,10480.93,0,78244.94,0
94,78644.94,0,14037.76,0,78644.94,0
95,78644.94,0,9154.088,0,78644.94,0
96,78044.82,0,11973.5,0,78044.82,0
97,78644.94,0,15471.98,0,78644.94,0
98,78644.94,0,13879.69,0,78644.94,0
99,78644.94,0,12668.33,0,78644.94,0
100,39047.14,0,7859.901,0,39047.14,0
101,38047.03,0,6643.917,0,38047.03,0
102,60749.41,0,10035.92,0,60749.41,0
103,79148.11,0,12437.44,0,79148.11,0
104,79148.11,0,11524.75,0,79148.11,0
105,78948.11,0,10801.36,0,78948.11,0
106,84950.12,0,14290.73,0,84950.12,0
107,84950.12,0,15229.21,0,84950.12,0
108,84950.12,0,16429.52,0,84950.12,0
109,84950.12,0,15424.83,0,84950.12,0
110,5075.335,0,4750.052,0,5075.335,0
111,5319.148,0,4803.269,0,5319.148,0
112,5520.275,0,5052.059,0,5520.275,0
113,21936.99,0,6088.765,0,21936.99,0
114,47280.95,0,12943.04,0,47280.95,0
115,46837.81,0,17556.95,0,46837.81,0
116,48892.18,0,18492.78,0,48892.18,0
117,86547.54,0,34527.04,0,86547.54,0
118,88750.52,0,21638.75,0,88750.52,0
119,88750.52,0,27442.84,0,88750.52,0
120,4477.068,0,4452.477,0,4477.068,0
121,4967.913,0,4498.287,0,4967.913,0
122,5257.801,0,4599.247,0,5257.801,0
123,28829.04,0,6372.362,0,28829.04,0
124,28829.04,0,7438.676,0,28829.04,0
125,77367.73,0,14853.63,0,77367.73,0
126,90967.62,0,22480.89,0,90967.62,0
127,81367.13,0,31365.68,0,81367.13,0
128,87568.23,0,33220.72,0,87568.23,0
129,91568.23,0,27178.97,0,91568.23,0
130,4607.877,0,4578.558,0,4607.877,0
131,4624.201,0,4594.026,0,4624.201,0
132,4645.83,0,4614.015,0,4645.83,0
133,4664.36,0,4632.605,0,4664.36,0
134,4665.292,0,4659.298,0,4665.292,0
135,4666.539,0,4662.413,0,4666.539,0
136,4667.684,0,4659.611,0,4667.684,0
137,4672.191,0,4662.962,0,4672.191,0
138,4672.508,0,4652.61,0,4672.508,0
139,4675.258,0,4661.95,0,4675.258,0
140,4690.531,0,4630.57,0,4690.531,0
141,4702.105,0,4656.052,0,4702.105,0
142,4706.925,0,4661.958,0,4706.925,0
143,4720.188,0,4675.651,0,4720.188,0
144,4733.664,0,4698.274,0,4733.664,0
145,4733.77,0,4700.522,0,4733.77,0
146,4746.051,0,4684.587,0,4746.051,0
147,29727.59,0,7147.962,0,29727.59,0
148,45768.7,0,10597.08,0,45768.7,0
149,47550.84,0,10885.97,0,47550.84,0
150,31610.64,0,6266.284,0,31610.64,0
